stamp_sec,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
1732437230.359660864,0.025851676240563393,-0.05692877620458603,0.012960068881511688,-0.37952789664268494,0.013357414864003658,0.9067832231521606
1732437230.364038944,0.02372114546597004,-0.0398845449090004,-0.001953631639480591,-0.35291656851768494,0.017751947045326233,0.9121543169021606
1732437230.369626284,0.008807443082332611,-0.0068613458424806595,-0.01686733588576317,-0.36927399039268494,0.014089836739003658,0.9477988481521606
1732437230.373875380,-0.002910465933382511,0.016574472188949585,-0.032846301794052124,-0.36219391226768494,-0.002023444278165698,0.9414511919021606
1732437230.379738569,-0.002910465933382511,0.027227118611335754,-0.03497683256864548,-0.36902984976768494,-0.020578131079673767,0.9329062700271606
1732437230.384107351,0.007742179557681084,0.02935764566063881,-0.024324186146259308,-0.39686188101768494,-0.019357427954673767,0.9202109575271606
1732437230.389913559,0.009872708469629288,0.024031326174736023,-0.01686733588576317,-0.44105133414268494,-0.006906257010996342,0.9058066606521606
1732437230.393972158,0.002415856346487999,0.015509210526943207,-0.011541012674570084,-0.45765289664268494,-0.007638678885996342,0.8816367387771606
1732437230.399643898,-0.005040994845330715,-0.0026002880185842514,-0.010475747287273407,-0.45130524039268494,-0.03156445920467377,0.8760215044021606
1732437230.403988361,-0.008236788213253021,-0.019644519314169884,-0.008345220237970352,-0.40613922476768494,-0.05964063107967377,0.8735800981521606
1732437230.409677744,0.0013505928218364716,-0.027101371437311172,-0.001953631639480591,-0.39344391226768494,-0.07135938107967377,0.9067832231521606
1732437230.413656235,0.014133766293525696,-0.02497084066271782,-0.0072799548506736755,-0.37000641226768494,-0.07892774045467377,0.9448691606521606
1732437230.419685125,0.029047468677163124,-0.007926610298454762,-0.013671543449163437,-0.34583649039268494,-0.07624219357967377,0.9475547075271606
1732437230.424520016,0.042895905673503876,0.026161853224039078,-0.0200631283223629,-0.36610016226768494,-0.03888867795467377,0.9448691606521606
1732437230.429640055,0.032243259251117706,0.04427134618163109,-0.04030315577983856,-0.39637359976768494,-0.001046881778165698,0.9338828325271606
1732437230.433905363,0.012003237381577492,0.03255344182252884,-0.05841264873743057,-0.42054352164268494,0.002371086971834302,0.9192343950271606
1732437230.439677477,0.020525353029370308,0.0389450266957283,-0.05095579847693443,-0.45154938101768494,0.011404289864003658,0.8884726762771606
1732437230.443984985,0.027982203289866447,0.05066293850541115,-0.029650509357452393,-0.5145376920700073,0.04656054079532623,0.8821250200271606
1732437230.449686289,0.002415856346487999,0.027227118611335754,-0.029650509357452393,-0.5045279264450073,0.04704882204532623,0.8528281450271606
1732437230.453669786,-0.013563110493123531,-0.011122403666377068,-0.0200631283223629,-0.5157583951950073,0.008962883614003658,0.8684531450271606
1732437230.459925890,0.0002853274345397949,-0.03136242926120758,0.014025337994098663,-0.5160025358200073,-0.004464850760996342,0.8704062700271606
1732437230.464154720,-0.01249784603714943,-0.05266771838068962,0.014025337994098663,-0.44349274039268494,-0.023019537329673767,0.8699179887771606
1732437230.469924927,-0.025281019508838654,-0.0675814226269722,0.006568484008312225,-0.43299469351768494,-0.07526563107967377,0.9228965044021606
1732437230.473819256,-0.008236788213253021,-0.04521086812019348,0.008699014782905579,-0.39246734976768494,-0.08234570920467377,0.9275351762771606
1732437230.479873419,0.007742179557681084,0.004856564104557037,-0.0008883699774742126,-0.38245758414268494,-0.05866406857967377,0.9206992387771606
1732437230.483926296,0.009872708469629288,0.03574923425912857,-0.02645471692085266,-0.40491852164268494,-0.05036328732967377,0.9158164262771606
1732437230.489570141,0.025851676240563393,0.03255344182252884,-0.027519982308149338,-0.44080719351768494,-0.024240240454673767,0.8953086137771606
1732437230.494044542,0.025851676240563393,-0.007926610298454762,-0.025389451533555984,-0.44471344351768494,0.024343743920326233,0.8696738481521606
1732437230.499639511,0.0002853274345397949,-0.05692877620458603,-0.03497683256864548,-0.43177399039268494,0.03801561892032623,0.8711386919021606
1732437230.504025221,0.002415856346487999,-0.06651616096496582,-0.0339115671813488,-0.42103180289268494,0.018972650170326233,0.8904258012771606
1732437230.509490252,0.018394822254776955,-0.030297163873910904,-0.018997862935066223,-0.42200836539268494,0.020193353295326233,0.9016562700271606
1732437230.513894558,0.014133766293525696,0.012313414365053177,-0.01686733588576317,-0.38148102164268494,0.03337694704532623,0.8611289262771606
1732437230.519596577,-0.009302052669227123,0.0250965878367424,-0.022193659096956253,-0.37049469351768494,0.015310539864003658,0.8455039262771606
1732437230.523622036,-0.016758903861045837,-0.015383461490273476,-0.013671543449163437,-0.39588531851768494,-0.03571484982967377,0.9033652544021606
1732437230.529169798,-0.011432581581175327,-0.06438562273979187,0.00550321489572525,-0.36683258414268494,-0.06550000607967377,0.9204550981521606
1732437230.533959627,-0.008236788213253021,-0.05692877620458603,0.009764276444911957,-0.34925445914268494,-0.08258984982967377,0.9224082231521606
1732437230.539795876,-0.0007799370214343071,-0.007926610298454762,0.006568484008312225,-0.37659820914268494,-0.09577344357967377,0.9521933794021606
1732437230.543794870,0.0034811217337846756,0.03148817643523216,-0.0008883699774742126,-0.37708649039268494,-0.11969922482967377,0.9548789262771606
1732437230.549897432,-0.007171523757278919,0.02829238399863243,-0.018997862935066223,-0.36805328726768494,-0.13874219357967377,0.9294883012771606
1732437230.553857327,0.0002853274345397949,0.009117621928453445,-0.03071577474474907,-0.41761383414268494,-0.15705274045467377,0.9534140825271606
1732437230.559809208,0.021590618416666985,0.010182887315750122,-0.028585243970155716,-0.42127594351768494,-0.13996289670467377,0.9321738481521606
1732437230.563844681,0.04076537489891052,0.03148817643523216,-0.027519982308149338,-0.45814117789268494,-0.11164258420467377,0.9126425981521606
1732437230.569694519,0.053548552095890045,0.04959766939282417,-0.032846301794052124,-0.46448883414268494,-0.08332227170467377,0.8794394731521606
1732437230.574118853,0.05780961364507675,0.03681449964642525,-0.0200631283223629,-0.49622711539268494,-0.03400586545467377,0.8801718950271606
1732437230.579638958,0.03756958246231079,-0.022840313613414764,-0.0200631283223629,-0.46473297476768494,-0.010324225760996342,0.8940879106521606
1732437230.583779573,0.020525353029370308,-0.07184247672557831,-0.018997862935066223,-0.40833649039268494,-0.04328320920467377,0.9192343950271606
1732437230.589579821,0.05674434453248978,-0.0398845449090004,0.0076337456703186035,-0.41175445914268494,-0.06598828732967377,0.9678183794021606
1732437230.593818188,0.06846226006746292,0.034683968871831894,0.03639588505029678,-0.40223297476768494,-0.004708991385996342,0.9243613481521606
1732437230.599687815,0.010937971994280815,0.051728200167417526,0.0076337456703186035,-0.44153961539268494,0.025564447045326233,0.9260703325271606
1732437230.604101419,-0.021019961684942245,0.02935764566063881,0.000176895409822464,-0.46448883414268494,-0.008371100760996342,0.9358359575271606
1732437230.609506130,0.015199029818177223,0.020835530012845993,0.02574324607849121,-0.48035797476768494,-0.015207038260996342,0.9026328325271606
1732437230.613833904,0.021590618416666985,0.01444394513964653,0.03639588505029678,-0.49207672476768494,0.020437493920326233,0.8662558794021606
1732437230.619493008,0.00561165064573288,0.02190079540014267,0.01615586131811142,-0.5147818326950073,0.017263665795326233,0.8557578325271606
1732437230.623720407,0.018394822254776955,0.04320608451962471,0.01935165375471115,-0.48865875601768494,0.005789055489003658,0.8044883012771606
1732437230.629686832,0.018394822254776955,0.04001029208302498,0.020416922867298126,-0.37000641226768494,0.026296868920326233,0.6968222856521606
1732437230.634092331,-0.005040994845330715,-0.04521086812019348,-0.004084162414073944,-0.38660797476768494,-0.028146490454673767,0.8242636919021606
